scanner_name,total_results,with_severity,severity_percentage,latest_scan
kubescape,4766,3781,79.3,2025-08-27T13:23:19.205251
polaris,4110,4110,100.0,2025-08-27T13:24:48.320601
kube-score,3888,3888,100.0,2025-08-27T13:25:13.441952
kubelinter,1199,1199,100.0,2025-08-27T13:23:29.688874
kubesec,678,337,49.7,2025-08-27T13:36:21.628908
trivy,561,561,100.0,2025-08-27T13:23:59.682485
kics,399,399,100.0,2025-08-27T13:23:42.966544
snyk,208,208,100.0,2025-08-27T13:31:07.408232
kube-bench,122,81,66.4,2025-08-27T13:28:01.667682
terrascan,87,87,100.0,2025-08-27T13:25:03.546620
checkov,85,0,0.0,2025-08-27T13:24:38.389159
kubiscan,80,80,100.0,2025-08-27T13:28:28.994996
